"Height","Weight","Music","Slow.songs.or.fast.songs","Dance","Folk","Country","Classical.music","Musical","Pop","Rock","Metal.or.Hardrock","Punk","Hiphop..Rap","Reggae..Ska","Swing..Jazz","Rock.n.roll","Alternative","Latino","Techno..Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Cars","Passive.sport","Active.sport","Gardening","Shopping","Science.and.technology","Theatre","Fun.with.friends","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous.dogs","Fear.of.public.speaking","Age","Number.of.siblings"
173,49,5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,5,1,4,3,5,5,5,2,5,2,1,1,1,3,5,2,5,5,5,1,1,1,3,1,1,1,5,5,5,15,3
178,75,5,4,5,3,1,2,2,4,5,2,2,2,3,4,3,4,3,1,1,5,1,1,4,5,2,2,5,5,5,2,1,2,1,1,5,3,1,5,2,4,4,2,2,1,2,3,1,3,20,1
168,66,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,5,4,5,4,2,3,4,2,3,4,1,1,5,3,2,5,4,4,5,1,1,3,1,4,4,5,5,4,3,19,1
193,103,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,5,3,5,2,1,4,3,3,3,3,4,4,5,1,1,4,4,3,5,1,2,3,4,2,2,3,1,4,2,18,2
170,51,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,5,4,4,5,5,5,4,2,5,4,1,1,2,1,1,2,4,2,3,1,1,2,1,5,3,5,3,1,4,15,1
170,50,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,5,1,1,2,2,1,4,5,4,5,1,1,3,4,3,3,1,5,4,3,3,5,4,4,4,2,2,3,2,20,2
170,59,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,5,5,3,5,5,5,3,5,5,5,3,3,1,3,3,2,4,4,4,3,3,3,3,5,3,1,5,5,5,16,1
185,62,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,4,3,5,5,2,4,5,3,3,5,2,4,4,4,2,2,5,4,5,4,4,5,5,5,2,1,3,1,1,18,1
185,90,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,5,4,4,5,4,3,5,2,2,4,3,2,5,5,4,3,5,5,5,1,1,2,4,5,3,1,1,3,2,21,1
174,66,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,2,1,3,4,3,1,2,4,5,3,1,5,3,1,1,3,2,2,3,5,2,2,2,3,4,1,2,4,2,20,1
168,50,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,5,1,2,5,5,1,3,5,4,4,3,1,2,4,1,3,2,2,4,1,1,1,1,1,2,2,1,4,3,20,4
168,53,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,5,3,3,5,5,2,1,3,4,1,2,1,2,4,2,4,2,3,5,4,4,4,4,3,5,5,4,5,2,19,1
175,52,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,5,1,3,5,5,5,5,5,5,5,4,3,2,1,1,3,2,4,4,2,2,2,5,2,4,3,2,4,3,19,3
170,65,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,3,3,1,5,5,1,1,5,5,5,1,1,1,3,1,1,5,3,3,1,2,4,5,1,3,1,5,3,1,19,1
174,66,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,4,1,2,4,4,4,1,3,4,1,1,2,3,4,1,5,5,4,4,3,3,1,4,4,4,4,4,5,3,20,1
168,62,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,5,4,2,4,3,3,1,4,5,4,1,4,5,2,1,4,3,1,5,2,3,4,5,5,5,5,4,2,4,20,1
180,66,5,2,3,1,2,3,2,3,5,1,3,2,2,2,4,3,4,4,2,5,5,2,5,3,5,5,3,4,5,1,1,4,4,1,3,5,4,5,1,1,1,1,1,1,1,1,2,5,21,1
165,78,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,4,2,4,4,4,1,2,2,2,4,1,1,2,1,1,2,2,2,4,2,3,4,3,5,4,3,3,4,3,19,1
180,72,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,2,1,5,3,5,5,4,3,4,2,2,5,2,4,5,5,1,4,3,4,5,1,1,1,3,1,3,1,1,3,2,21,1
185,83,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,5,2,3,3,3,4,3,4,2,4,2,2,4,1,1,1,5,2,2,1,1,1,2,2,2,2,3,3,4,18,2
165,55,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,4,4,4,5,5,4,3,3,3,4,3,1,3,4,1,2,4,2,3,1,2,2,3,2,3,2,2,4,3,20,3
184,85,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,3,2,2,4,2,5,5,4,4,4,2,2,2,3,1,2,4,2,3,1,1,2,3,1,2,1,2,3,4,19,5
177,61,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,5,2,4,4,3,4,2,2,2,3,1,3,5,4,1,3,5,3,5,2,1,2,1,5,2,1,3,3,3,22,1
180,100,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,5,4,4,5,2,2,2,3,3,2,1,2,4,5,1,2,3,4,5,3,2,1,4,3,3,4,2,2,4,20,1
170,72,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,5,5,3,5,3,2,5,2,3,5,2,1,3,5,1,3,4,2,5,5,1,3,3,2,3,3,5,4,1,25,2
170,52,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,3,2,4,5,4,3,3,3,5,4,2,4,3,3,2,5,4,2,3,1,3,2,3,5,4,4,4,5,3,21,0
185,81,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,4,4,4,5,3,2,5,1,1,5,3,2,1,1,1,2,5,1,5,1,1,2,2,5,3,2,3,1,3,24,1
171,72,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,4,5,4,3,3,4,2,3,4,3,1,2,3,3,3,3,4,3,3,1,1,5,1,2,1,5,3,1,3,19,1
177,97,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,5,4,4,4,4,3,3,3,2,3,2,1,3,2,1,4,1,1,4,1,1,1,5,1,1,1,1,5,2,25,1
175,60,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,5,5,5,3,2,4,5,3,3,3,4,2,3,1,1,2,3,2,5,1,1,1,1,2,2,2,2,5,2,26,2
160,48,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,5,4,4,5,5,4,1,5,5,2,1,1,5,5,3,5,4,4,5,3,3,2,1,5,2,2,3,5,4,15,2
190,70,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,5,2,4,4,3,4,4,4,4,3,3,3,5,4,3,2,3,4,5,2,2,3,4,2,2,3,2,3,2,20,1
194,79,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,5,5,4,5,3,5,5,4,4,4,1,4,5,5,1,1,4,2,5,1,1,1,2,1,1,1,1,1,2,19,1
172,73,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,5,2,5,5,3,5,2,4,4,3,1,1,4,2,3,5,3,2,5,1,2,1,1,4,1,1,5,1,3,20,2
190,89,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,4,2,2,5,5,3,5,2,1,5,3,4,1,5,1,1,2,1,3,1,1,1,2,2,5,3,1,3,2,21,0
184,71,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,4,5,5,3,3,5,3,2,2,4,1,1,1,1,1,1,1,1,3,3,3,2,4,4,3,2,2,3,4,22,1
188,66,5,4,4,2,1,3,2,4,4,1,3,2,2,4,4,5,2,3,2,5,2,5,3,3,2,1,3,4,3,1,1,1,3,2,5,1,4,4,2,1,3,2,2,2,2,4,1,4,20,1
168,60,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,5,1,1,5,5,2,5,3,2,4,1,2,2,2,1,5,4,5,5,3,2,2,4,4,4,5,4,4,4,20,1
161,65,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,4,4,4,5,3,3,2,3,4,3,1,1,2,5,1,2,3,4,4,1,1,2,2,4,1,1,3,2,1,21,1
183,98,3,3,3,2,2,3,2,3,4,3,4,4,4,3,3,3,3,3,2,3,1,2,5,2,3,1,1,2,5,2,2,5,2,1,2,4,1,3,3,3,4,4,4,4,3,3,4,4,21,1
180,71,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,5,5,5,5,3,3,3,4,4,4,3,2,4,4,1,4,5,3,5,1,1,1,1,1,1,1,2,2,1,20,0
157,57,5,3,2,1,2,4,4,3,5,4,3,1,1,3,3,4,1,1,1,5,3,2,2,1,2,4,3,5,3,2,1,1,1,1,3,1,5,4,1,2,1,1,5,3,1,1,1,3,19,2
176,64,4,3,2,3,2,2,1,3,4,2,2,2,3,5,4,5,4,1,1,3,1,2,5,2,3,5,4,5,4,1,1,3,5,1,1,1,3,5,2,2,4,3,3,5,4,3,3,2,19,1
180,72,5,4,3,1,2,4,3,4,4,1,1,4,3,3,3,2,1,1,1,5,5,5,5,3,3,4,3,4,3,2,1,4,4,1,4,5,3,5,1,1,1,1,1,1,1,3,1,1,20,0
191,85,5,3,2,3,3,4,4,2,5,5,5,2,4,4,4,4,2,1,3,3,3,3,4,2,5,4,3,4,5,3,2,5,2,1,1,5,3,5,3,1,3,2,1,1,1,4,4,5,22,1
187,75,5,3,2,1,2,4,4,3,2,1,1,2,1,2,3,2,1,5,4,5,4,3,5,4,5,3,3,4,5,3,5,4,3,1,4,5,3,5,1,1,2,3,2,4,3,2,1,4,21,1
183,78,5,2,1,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,5,1,5,5,5,5,5,5,1,5,3,5,5,3,5,5,5,5,4,1,5,5,5,5,5,5,5,5,3,26,0
163,61,5,3,1,1,1,5,3,3,5,5,2,3,4,4,4,2,4,2,1,4,2,4,5,5,1,1,4,5,2,1,5,5,4,2,1,1,3,3,2,1,4,1,3,5,1,4,2,3,17,2
178,80,5,3,3,2,1,1,1,3,5,5,3,2,4,3,5,4,1,2,1,5,3,2,4,3,4,3,3,4,3,2,5,1,5,1,3,4,3,4,2,1,1,3,1,1,1,1,1,1,22,2
169,70,5,3,1,4,2,4,3,1,5,5,3,1,3,3,3,5,2,1,3,5,3,4,5,5,4,3,4,4,5,3,1,4,4,4,2,4,3,5,3,1,2,3,1,2,3,5,1,3,26,2
160,50,4,3,1,3,3,5,2,2,4,4,3,1,2,2,4,3,2,1,4,3,3,3,3,2,2,2,5,5,4,3,1,1,1,3,3,3,3,3,2,2,2,4,2,1,1,5,3,3,20,1
182,75,4,3,1,2,2,5,2,1,1,2,1,1,1,4,1,1,1,4,5,4,4,4,4,2,4,5,4,5,5,2,1,2,3,2,4,4,2,3,2,2,4,2,5,1,1,3,5,2,22,1
175,60,4,4,2,1,1,3,3,2,5,4,5,2,2,1,4,4,1,1,1,4,5,5,5,1,5,1,1,1,4,1,5,1,1,1,5,4,4,5,1,1,1,1,1,1,1,1,1,1,21,0
180,80,5,3,4,3,3,4,3,3,4,3,3,4,4,5,3,3,5,3,3,4,2,3,4,2,2,3,3,3,3,3,5,3,3,2,2,3,3,4,1,1,1,1,1,2,3,2,2,2,23,0
158,47,5,3,4,3,2,4,4,4,5,4,3,2,4,3,2,3,4,1,5,5,1,4,5,4,3,1,5,5,4,2,2,3,4,2,5,5,5,5,2,3,2,1,5,4,2,1,2,3,19,0
180,70,5,3,3,2,1,2,5,4,3,1,1,5,4,4,3,4,3,4,3,5,3,4,4,2,2,5,4,3,5,3,1,3,5,3,3,5,4,5,2,2,2,2,3,1,2,1,1,1,20,1
174,85,5,4,2,2,2,3,4,2,5,1,2,1,1,4,5,5,1,1,2,5,3,3,5,2,3,1,3,3,3,2,1,2,2,1,3,2,5,3,3,5,1,3,2,5,2,4,5,3,21,0
167,55,3,3,3,1,1,2,5,3,2,1,1,4,3,3,4,1,5,3,1,5,1,2,5,5,3,3,5,5,3,2,2,5,3,5,3,2,5,5,1,5,1,1,3,5,3,3,4,2,19,2
169,65,4,2,2,4,2,3,3,4,2,1,1,1,1,3,2,2,3,2,4,4,1,2,5,5,2,2,4,1,5,2,1,3,4,4,4,1,4,4,2,3,3,2,5,5,5,4,4,3,29,2
183,80,5,3,1,2,2,2,1,4,3,2,2,1,1,2,1,5,1,5,1,4,2,4,4,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,4,3,22,1
170,55,3,3,3,3,2,5,4,3,3,1,1,3,2,2,2,2,2,1,4,2,2,2,2,2,2,5,5,5,5,3,3,3,3,3,2,3,3,3,3,3,4,1,2,5,5,3,5,4,19,2
166,54,5,3,1,3,2,5,3,1,4,5,4,1,1,1,3,2,1,1,4,5,5,5,4,4,4,5,3,3,4,5,1,2,3,1,2,3,1,3,1,1,2,2,3,3,2,2,2,5,17,1
158,48,4,4,2,2,2,4,2,2,4,5,3,2,3,2,3,3,2,2,3,4,3,5,4,4,3,3,4,4,4,2,2,4,5,4,3,3,2,4,2,2,2,2,5,1,2,3,2,3,16,1
160,67,5,3,2,5,2,4,5,5,2,1,1,1,3,4,3,4,3,1,4,4,1,2,4,5,1,1,5,5,4,1,1,2,2,4,2,1,5,4,3,2,2,2,1,3,3,3,5,1,29,2
158,65,5,1,4,1,2,3,3,5,4,1,3,5,2,1,3,2,3,4,1,5,3,3,5,4,3,2,5,5,4,1,1,2,4,1,4,1,2,5,2,1,2,1,5,1,1,4,1,3,18,2
169,70,5,3,1,4,3,5,3,1,5,5,4,1,3,3,5,5,1,1,3,5,3,4,5,5,4,3,3,4,5,1,1,4,4,4,2,3,3,5,3,1,2,2,1,2,4,3,1,3,26,2
183,78,5,4,1,2,1,3,2,2,4,2,4,2,3,1,5,5,1,1,1,5,3,5,4,2,4,4,3,3,2,2,3,5,2,1,2,4,2,4,2,1,1,2,3,3,4,2,3,1,19,1
185,70,5,3,2,2,2,3,2,2,3,1,1,5,3,3,3,3,2,1,2,4,5,5,5,4,3,3,3,2,3,2,4,4,4,3,4,5,3,4,1,2,3,4,5,5,1,3,5,3,19,1
169,64,5,3,2,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,5,1,2,5,5,4,3,5,5,4,3,3,5,5,1,3,3,3,5,2,2,3,2,4,5,4,2,4,3,20,0
160,47,5,3,3,2,3,1,4,2,2,1,1,3,2,2,1,1,3,1,1,5,4,4,5,5,1,3,3,2,1,1,3,5,1,1,4,1,4,5,1,4,4,2,4,4,4,2,4,4,22,0
186,88,5,3,3,4,2,2,2,3,5,3,5,5,4,2,5,2,2,2,2,3,5,3,3,2,3,5,5,5,3,2,4,2,4,1,2,3,1,5,1,5,5,5,5,5,5,3,5,4,20,1
186,89,5,4,4,1,1,1,1,2,3,1,1,4,2,1,1,1,2,4,1,4,1,4,5,2,3,3,3,3,4,2,4,3,5,1,3,4,1,5,3,1,2,2,2,4,3,3,3,3,21,1
169,55,4,3,3,1,2,4,3,4,4,4,3,5,4,3,4,2,2,2,1,5,4,4,5,5,5,5,4,4,5,4,3,5,2,1,2,4,2,2,3,1,2,3,1,2,1,1,3,4,21,2
168,56,5,3,2,4,3,3,3,5,5,2,3,5,5,1,5,5,3,2,1,5,3,3,5,5,4,4,5,4,5,2,1,4,4,1,5,5,5,5,4,3,3,3,1,5,1,3,5,1,18,0
181,63,5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,5,5,3,5,2,5,5,4,4,2,3,4,3,4,1,4,4,1,5,1,1,2,2,4,4,3,2,3,1,15,0
163,50,5,3,4,2,2,3,1,4,5,3,3,3,3,2,2,2,4,3,3,5,3,3,5,5,3,3,5,5,2,2,4,4,3,3,4,1,2,5,1,1,1,4,2,2,2,4,4,5,19,1
169,51,5,3,3,3,2,3,3,2,5,4,4,2,5,4,5,4,3,1,2,5,1,2,4,2,5,1,4,5,4,2,1,1,1,1,1,4,4,4,2,1,1,1,4,3,1,2,3,4,24,1
160,53,5,1,2,4,3,5,5,4,4,3,1,1,1,4,5,3,4,1,5,5,1,1,4,4,3,3,5,4,5,2,1,1,4,4,1,4,5,5,3,2,4,5,1,1,1,1,3,4,19,1
184,85,5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,5,5,4,4,1,4,4,2,2,4,4,4,3,3,1,1,4,5,4,3,2,1,2,3,3,3,2,2,1,25,3
170,62,5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,5,5,5,5,5,5,5,5,5,5,1,4,5,5,2,3,4,3,4,2,3,3,2,5,3,3,1,2,3,20,1
170,60,5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,3,3,4,4,2,3,5,5,3,4,1,3,3,5,1,5,3,2,5,1,5,5,2,5,4,4,4,1,2,19,2
174,66,5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,5,1,4,5,3,3,5,3,4,4,3,3,5,5,1,1,4,4,5,4,3,1,4,5,4,2,1,4,5,21,1
184,82,5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,4,4,5,4,4,5,5,5,4,5,5,4,5,23,2
176,55,5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,5,2,5,5,5,3,3,5,1,3,2,3,3,5,1,5,1,4,5,1,2,2,5,5,5,5,5,5,1,21,1
170,62,5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,5,5,5,5,3,5,5,5,5,5,3,3,5,1,4,4,4,5,5,1,1,1,2,4,4,2,1,3,3,20,1
168,69,5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,5,1,3,5,4,3,3,5,5,4,2,5,3,3,3,4,5,4,5,2,2,1,2,3,4,1,1,5,3,20,1
173,55,4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,5,1,3,5,2,3,2,4,4,5,3,4,2,3,2,4,5,4,4,3,2,2,3,5,4,3,3,3,3,18,3
180,80,1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,4,5,1,5,3,1,5,1,1,3,4,3,5,5,1,3,1,1,5,3,1,1,1,1,1,1,5,3,1,27,2
163,68,5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,4,4,2,3,1,1,4,1,1,3,1,1,1,3,1,4,1,2,4,1,1,1,3,4,1,1,3,5,1,17,0
178,60,5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,5,1,3,5,5,3,2,5,5,4,2,1,3,2,2,2,2,5,5,3,3,2,4,5,3,3,3,1,1,19,1
182,70,5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,5,3,2,5,3,5,5,3,4,5,1,4,2,4,1,3,5,3,5,1,1,1,3,1,1,2,4,3,2,18,2
192,90,5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,5,5,5,5,1,3,5,3,3,5,3,5,5,5,1,5,5,1,5,1,1,1,3,1,1,1,3,2,1,26,1
200,90,5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,5,3,3,5,3,2,3,4,5,4,3,4,5,5,3,3,4,2,5,1,3,2,2,2,3,2,1,4,3,18,2
178,71,5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,5,4,5,5,3,4,3,4,5,4,3,4,3,5,3,2,5,3,5,1,2,1,1,2,2,1,1,3,3,30,2
153,42,5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,5,1,3,5,5,3,3,5,5,3,3,1,4,2,3,4,3,2,3,1,2,1,2,2,4,2,3,5,5,24,1
168,51,5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,5,1,2,5,3,2,2,4,5,4,1,2,5,5,2,3,3,3,5,4,2,1,3,1,3,1,5,5,2,20,0
172,56,5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,5,4,3,4,3,4,5,2,4,3,1,2,4,1,1,2,4,2,3,3,1,2,1,1,3,1,2,4,3,20,1
176,64,5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,5,3,3,4,2,5,5,2,4,5,3,5,4,2,1,2,5,3,5,1,2,2,2,4,4,2,1,4,2,20,1
164,54,5,5,5,5,4,3,3,4,5,3,3,5,3,2,3,1,3,3,1,5,3,3,5,1,3,1,5,5,3,1,1,5,3,5,5,3,3,5,5,5,3,5,1,2,3,5,3,5,25,1
168,68,5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,5,2,4,3,3,2,4,4,5,5,2,4,4,2,1,3,3,5,3,1,1,1,2,1,1,1,3,1,3,19,3
157,48,4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,5,1,2,3,2,5,5,3,3,4,3,1,4,2,4,2,4,4,5,3,3,3,4,1,2,1,3,3,3,20,2
173,73,4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,3,1,3,4,1,2,2,3,2,3,3,2,5,3,2,2,4,2,4,1,1,1,1,1,2,1,3,2,2,21,5
173,63,5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,4,1,3,4,4,4,4,4,4,4,2,2,5,4,1,5,3,3,5,2,3,3,2,5,5,2,3,4,2,19,1
171,55,5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,5,4,4,5,5,2,1,4,3,3,1,3,4,2,4,5,2,3,5,3,2,1,2,1,4,3,3,3,2,19,0
168,60,5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,5,4,5,5,5,5,5,2,3,3,2,1,5,2,3,4,2,1,5,1,1,2,1,2,3,3,5,5,5,19,2
165,48,4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,5,5,5,5,5,4,3,4,4,3,2,2,5,5,3,3,2,3,4,2,1,2,4,4,2,1,5,3,3,18,1
168,65,4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,3,1,1,5,5,2,2,5,5,4,2,3,4,2,3,5,2,1,5,2,1,3,1,4,4,4,1,5,4,18,1
174,64,5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,5,1,2,5,3,1,4,5,5,3,2,2,5,1,3,5,1,4,5,1,1,2,1,2,5,3,1,1,2,16,0
171,57,1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,5,2,3,5,3,3,5,5,5,5,2,2,4,4,3,5,5,5,5,1,3,4,5,1,1,1,5,5,1,19,0
173,64,5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,4,3,2,5,5,2,3,5,5,4,2,4,5,2,1,4,3,2,5,1,1,5,1,5,1,4,3,3,5,18,3
157,48,5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,5,5,4,5,5,3,4,5,5,3,2,2,2,2,1,5,3,3,5,3,1,2,2,4,2,2,2,4,2,19,2
173,59,5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,5,1,3,5,3,3,3,4,4,2,1,2,2,4,3,4,3,4,4,5,4,3,4,5,5,3,5,3,4,21,1
180,80,3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,3,3,3,5,3,3,4,5,5,4,3,5,5,5,2,2,3,2,4,2,3,2,3,3,3,3,5,3,2,21,1
180,60,5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,5,3,3,4,4,4,5,4,3,3,2,4,5,3,1,5,3,4,5,2,4,5,2,5,5,5,3,4,4,18,1
175,63,3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,5,1,5,5,4,4,2,3,2,2,1,1,2,2,2,5,2,5,5,2,2,2,4,3,3,3,2,5,1,21,0
178,70,5,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,5,2,4,2,2,4,4,4,3,4,2,1,2,1,4,2,5,3,2,3,1,2,4,1,2,2,1,5,4,17,0
160,46,5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,5,5,5,5,4,2,1,5,5,2,1,1,2,3,1,5,1,4,5,5,3,3,2,5,4,5,3,5,4,20,0
172,60,5,3,2,3,3,2,2,3,4,3,4,4,5,4,5,5,3,1,1,5,5,4,5,3,2,1,5,5,3,2,1,5,5,2,2,3,5,5,2,2,1,4,1,5,1,5,5,2,19,1
180,80,5,3,3,2,3,4,1,4,5,2,2,3,4,4,4,1,5,1,4,5,4,4,5,4,5,5,5,2,5,5,3,1,5,1,5,4,2,5,1,1,1,1,4,4,4,5,4,1,27,0
165,68,5,3,3,2,1,4,5,3,5,2,3,3,4,5,3,5,4,2,1,5,1,1,5,5,2,3,4,5,5,1,1,2,5,3,4,3,4,5,1,2,4,4,2,2,1,5,1,3,22,2
160,55,5,3,4,1,1,4,3,4,5,4,3,4,2,2,2,2,2,3,3,5,4,4,5,5,4,3,5,5,3,2,1,2,2,1,4,3,4,5,1,1,3,1,3,3,3,4,4,4,19,2
165,55,5,3,3,4,4,4,4,5,5,4,4,2,2,4,4,4,5,2,4,5,4,4,5,3,5,3,5,5,5,2,1,5,3,2,4,4,3,5,3,1,1,1,5,2,2,3,3,5,19,3
176,63,5,3,3,2,1,2,2,4,3,2,2,4,4,2,2,2,4,2,1,5,3,5,5,5,4,2,2,2,2,2,1,5,3,1,5,1,3,5,3,5,4,2,1,1,2,3,3,2,20,0
164,60,5,5,5,2,2,3,5,5,5,2,4,4,4,3,3,2,4,5,2,5,5,4,5,5,5,3,5,5,5,2,2,5,4,3,4,4,4,5,3,3,1,5,1,3,2,2,5,3,19,2
155,44,5,2,2,2,3,3,3,4,5,1,2,2,1,3,2,5,4,2,4,5,2,2,5,5,4,4,5,5,4,3,2,5,3,5,5,3,3,5,5,3,3,2,4,1,3,3,3,2,20,0
167,57,5,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,3,1,2,1,2,1,5,5,2,5,5,5,1,5,3,2,1,3,3,1,2,1,2,2,17,2
171,59,5,3,5,3,2,2,5,5,3,1,1,4,2,1,5,2,5,3,2,5,1,2,5,5,1,5,5,2,3,1,3,4,1,3,5,1,2,5,1,1,1,2,5,4,3,1,1,1,23,2
158,50,5,3,2,5,4,5,5,3,5,4,3,3,3,4,4,4,5,1,4,5,1,3,4,4,2,1,5,5,5,4,1,3,5,1,1,4,5,5,1,2,1,4,3,2,1,1,5,3,20,2
170,60,5,3,3,4,2,1,2,5,2,1,1,3,2,1,2,1,5,1,1,3,2,2,5,5,2,2,5,5,2,2,3,1,5,1,5,1,1,5,1,3,3,1,5,5,3,5,5,3,20,1
182,65,5,3,5,3,2,3,3,4,4,3,1,4,2,3,3,3,2,5,2,5,3,4,5,3,5,5,4,5,5,4,5,5,5,1,3,5,3,5,3,1,1,4,2,5,2,3,4,3,19,2
182,63,5,4,1,2,1,5,1,1,5,5,2,1,1,4,3,5,2,1,1,5,4,5,5,2,5,3,5,5,3,1,1,4,2,1,1,4,3,5,1,1,4,4,1,3,3,2,1,5,20,1
